first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
10/05/2020,16/05/2020,45-49,Men,1021,0,0
10/05/2020,16/05/2020,45-49,Not Binary,0,0,0
10/05/2020,16/05/2020,45-49,Women,1419,0,0
10/05/2020,16/05/2020,50-54,Men,821,0,0
10/05/2020,16/05/2020,50-54,Not Binary,0,0,0
10/05/2020,16/05/2020,50-54,Women,1181,0,0
10/05/2020,16/05/2020,55-59,Men,733,0,0
10/05/2020,16/05/2020,55-59,Not Binary,0,0,0
10/05/2020,16/05/2020,55-59,Women,1163,0,0
10/05/2020,16/05/2020,60-64,Men,805,0,0
10/05/2020,16/05/2020,60-64,Not Binary,0,0,0
10/05/2020,16/05/2020,60-64,Women,1104,0,0
10/05/2020,16/05/2020,65-69,Men,831,0,0
10/05/2020,16/05/2020,65-69,Women,1063,0,0
10/05/2020,16/05/2020,70-74,Men,904,0,0
10/05/2020,16/05/2020,70-74,Not Binary,0,0,0
10/05/2020,16/05/2020,70-74,Women,1115,0,0
10/05/2020,16/05/2020,75-79,Men,600,0,0
10/05/2020,16/05/2020,75-79,Not Binary,0,0,0
10/05/2020,16/05/2020,75-79,Women,836,0,0
10/05/2020,16/05/2020,80+,Men,2004,0,0
10/05/2020,16/05/2020,80+,Women,4630,0,0
10/05/2020,16/05/2020,NULL,Men,507,0,0
10/05/2020,16/05/2020,NULL,Not Binary,69,0,0
10/05/2020,16/05/2020,NULL,Women,564,0,0
17/05/2020,23/05/2020,0-19,Men,2317,16,0
17/05/2020,23/05/2020,0-19,Not Binary,0,0,0
17/05/2020,23/05/2020,0-19,Women,2044,25,0
17/05/2020,23/05/2020,20-24,Men,985,0,0
17/05/2020,23/05/2020,20-24,Not Binary,0,0,0
17/05/2020,23/05/2020,20-24,Women,1217,0,0
17/05/2020,23/05/2020,25-29,Men,1118,0,0
17/05/2020,23/05/2020,25-29,Not Binary,0,0,0
17/05/2020,23/05/2020,25-29,Women,1610,0,0
17/05/2020,23/05/2020,30-34,Men,1153,0,0
17/05/2020,23/05/2020,30-34,Not Binary,0,0,0
17/05/2020,23/05/2020,30-34,Women,1698,0,0
17/05/2020,23/05/2020,35-39,Men,1132,0,0
17/05/2020,23/05/2020,35-39,Not Binary,0,0,0
17/05/2020,23/05/2020,35-39,Women,1591,0,0
17/05/2020,23/05/2020,40-44,Men,967,0,0
17/05/2020,23/05/2020,40-44,Not Binary,0,0,0
17/05/2020,23/05/2020,40-44,Women,1447,0,0
17/05/2020,23/05/2020,45-49,Men,806,0,0
17/05/2020,23/05/2020,45-49,Not Binary,0,0,0
17/05/2020,23/05/2020,45-49,Women,1042,0,0
17/05/2020,23/05/2020,50-54,Men,664,0,0
17/05/2020,23/05/2020,50-54,Not Binary,0,0,0
17/05/2020,23/05/2020,50-54,Women,949,0,0
17/05/2020,23/05/2020,55-59,Men,673,0,0
17/05/2020,23/05/2020,55-59,Not Binary,0,0,0
17/05/2020,23/05/2020,55-59,Women,1046,0,0
17/05/2020,23/05/2020,60-64,Men,598,0,0
17/05/2020,23/05/2020,60-64,Women,834,0,0
17/05/2020,23/05/2020,65-69,Men,624,0,0
17/05/2020,23/05/2020,65-69,Not Binary,0,0,0
17/05/2020,23/05/2020,65-69,Women,729,0,0
17/05/2020,23/05/2020,70-74,Men,660,0,0
17/05/2020,23/05/2020,70-74,Women,758,0,0
17/05/2020,23/05/2020,75-79,Men,435,0,0
17/05/2020,23/05/2020,75-79,Women,623,0,0
17/05/2020,23/05/2020,80+,Men,1517,0,0
17/05/2020,23/05/2020,80+,Not Binary,0,0,0
17/05/2020,23/05/2020,80+,Women,3370,0,0
17/05/2020,23/05/2020,NULL,Men,385,0,0
17/05/2020,23/05/2020,NULL,Not Binary,83,0,0
17/05/2020,23/05/2020,NULL,Women,408,0,0
24/05/2020,30/05/2020,0-19,Men,2410,85,0
24/05/2020,30/05/2020,0-19,Not Binary,21,0,0
24/05/2020,30/05/2020,0-19,Women,2231,69,0
24/05/2020,30/05/2020,20-24,Men,632,0,0
24/05/2020,30/05/2020,20-24,Not Binary,0,0,0
24/05/2020,30/05/2020,20-24,Women,812,0,0
24/05/2020,30/05/2020,25-29,Men,787,0,0
24/05/2020,30/05/2020,25-29,Not Binary,0,0,0
24/05/2020,30/05/2020,25-29,Women,1273,0,0
24/05/2020,30/05/2020,30-34,Men,937,0,0
