Date,age group,Severe cases vaccinated,Severe cases expired Vaccination  ,Severe cases Not vaccinated,Severe cases vaccinated per 100k,Severe cases expired Vaccination  per 100k,Severe cases Not vaccinated per 100k,New Severe cases vaccinated,New severe cases expired Vaccination,New severe cases Not vaccinated,New severe cases vaccinated per 100k,New severe cases expired Vaccination  per 100k,New severe cases Not vaccinated per 100k
18-08-2021,All population,132,182,264,3.1,17.1,7.6,23,26,50,0.5,2.4,1.4
18-08-2021,0-59,18,33,101,0.6,3.9,3.1,5,5,20,0.2,0.6,0.6
18-08-2021,60+,114,149,163,11.5,70.9,103.9,18,21,30,1.8,10,19.1
19-08-2021,60+,110,150,159,10.6,77.3,101.8,10,24,24,1,12.4,15.4
19-08-2021,0-59,19,31,107,0.6,3.6,3.2,3,4,15,0.1,0.5,0.5
19-08-2021,All population,129,181,266,3.1,17,7.7,13,28,39,0.3,2.6,1.1
20-08-2021,0-59,20,33,104,0.6,3.7,3.2,4,4,19,0.1,0.4,0.6
20-08-2021,60+,110,143,172,10.4,75.9,110.5,20,19,26,1.9,10.1,16.7
20-08-2021,All population,130,176,276,3.1,16.3,8,24,23,45,0.6,2.1,1.3
21-08-2021,60+,116,151,187,10.9,80.4,120.3,12,24,30,1.1,12.8,19.3
21-08-2021,0-59,24,35,116,0.8,3.8,3.5,4,5,23,0.1,0.5,0.7
21-08-2021,All population,140,186,303,3.4,16.8,8.8,16,29,53,0.4,2.6,1.5
22-08-2021,All population,146,205,312,3.5,19.5,9.1,21,41,43,0.5,3.9,1.3
22-08-2021,60+,121,164,189,11,94.2,122.1,17,30,25,1.5,17.2,16.2
22-08-2021,0-59,25,41,123,0.8,4.7,3.8,4,11,18,0.1,1.3,0.5
23-08-2021,60+,125,149,207,11,91.8,134.4,21,14,40,1.9,8.6,26
23-08-2021,All population,150,186,337,3.5,18.5,9.8,27,18,68,0.6,1.8,2
23-08-2021,0-59,25,37,130,0.8,4.4,4,6,4,28,0.2,0.5,0.9
24-08-2021,60+,136,135,213,11.8,87.7,138.9,26,13,31,2.3,8.4,20.2
24-08-2021,All population,157,165,348,3.7,16.6,10.2,28,16,52,0.7,1.6,1.5
24-08-2021,0-59,21,30,135,0.7,3.6,4.1,2,3,21,0.1,0.4,0.6
25-08-2021,60+,126,139,218,10.7,93.7,142.8,17,18,35,1.4,12.1,22.9
25-08-2021,All population,148,169,361,3.4,17.1,10.6,21,23,62,0.5,2.3,1.8
25-08-2021,0-59,22,30,143,0.7,3.6,4.4,4,5,27,0.1,0.6,0.8
26-08-2021,0-59,22,33,148,0.7,3.9,4.6,1,8,27,0,1,0.8
26-08-2021,All population,142,163,368,3.3,16.6,10.9,16,23,56,0.4,2.3,1.7
26-08-2021,60+,120,130,220,10.1,90.9,144.6,15,15,29,1.3,10.5,19.1
27-08-2021,All population,143,165,371,3.3,16.5,11,28,21,48,0.7,2.1,1.4
27-08-2021,0-59,23,33,146,0.7,3.8,4.5,6,2,17,0.2,0.2,0.5
27-08-2021,60+,120,132,225,10,93.1,148.3,22,19,31,1.8,13.4,20.4
28-08-2021,All population,149,164,360,3.5,15.8,10.6,20,19,42,0.5,1.8,1.2
28-08-2021,0-59,26,33,143,0.8,3.7,4.4,5,4,19,0.2,0.4,0.6
28-08-2021,60+,123,131,217,10.3,92.2,143.2,15,15,23,1.3,10.6,15.2
29-08-2021,All population,164,165,403,3.8,16.3,11.9,27,21,64,0.6,2.1,1.9
29-08-2021,0-59,31,35,163,1,4,5.1,5,3,29,0.2,0.3,0.9
29-08-2021,60+,133,130,240,11,95.3,159.1,22,18,35,1.8,13.2,23.2
